band_name,percentile_0.1,percentile_5,percentile_90,percentile_95,percentile_99,percentile_99.9,ratio,final_cutoff
BD3400_2,0.036730888,0.057296741,0.229477796,0.262812752,0.328965316,65534.97928,199215.4677,0.328965316
BD3200,0.028045428,0.038931732,0.194670919,0.233252519,0.393173136,65534.88447,166681.9995,0.393173136
BD3100,0.110545018,0.133866611,0.701964903,0.805392694,0.905958982,65534.99309,72337.70446,0.905958982
R3920,0.175530573,0.297324419,0.628637278,0.702530146,0.816575046,15626.18006,19136.2449,0.816575046
BD640_2,-0.103117605,-0.083645758,-0.017119351,-0.005405894,0.116352799,0.627543511,5.393454359,0.627543511
BD1435,0.003927587,0.010144439,0.027218637,0.030807705,0.042285748,0.203538891,4.813415882,0.042285748
VAR,0.011872569,0.038483677,1.028618824,1.535235274,7.6888516,31.33706463,4.075649559,7.6888516
R530,0.076044593,0.094157751,0.142918012,0.154146537,0.184962695,0.584769364,3.161553004,0.184962695
BD2230,0.001842252,0.003302976,0.017973816,0.020852602,0.028912754,0.090759087,3.13906752,0.028912754
R440,0.049026196,0.055979258,0.086306801,0.093507347,0.158304638,0.486434876,3.07277716,0.158304638
BD860_2,-0.022788872,-0.015204901,0.027131324,0.045858411,0.129380264,0.352189226,2.722124806,0.129380264
BD1750_2,-0.003039037,0.002345239,0.019247141,0.02551395,0.046563039,0.122680192,2.63471188,0.046563039
SH770,0.013897489,0.022183103,0.051122161,0.067628697,0.213942027,0.5521517,2.580847287,0.213942027
BD920_2,-0.001099289,0.005572011,0.042228654,0.062701324,0.212800726,0.479468831,2.253135316,0.212800726
SINDEX2,0.004224679,0.00883732,0.033157171,0.044423748,0.079207757,0.172029994,2.171883165,0.079207757
D2200,-0.014123781,0.004378977,0.023795225,0.030010667,0.044575844,0.094251033,2.114397049,0.044575844
ISLOPE1,-0.002068478,0.018131321,0.073865536,0.093927583,0.130496973,0.263833329,2.021758229,0.130496973
SH600_2,0.128055465,0.152887654,0.22272045,0.242355409,0.371216274,0.748708758,2.016907152,0.371216274
MIN2250,-0.01916314,0.003827107,0.019646004,0.024465901,0.034837995,0.067836928,1.947211026,0.067836928
ICER1_2,-0.035997258,0.017998123,0.121924949,0.149929786,0.200024819,0.388443549,1.941976755,0.388443549
BD1900_2,-0.000951744,0.00432633,0.041857331,0.055186841,0.087191027,0.167466954,1.920690233,0.167466954
BD2355,0.004106851,0.00582359,0.02186287,0.026160515,0.044241028,0.084439583,1.908626151,0.084439583
BD2500_2,-0.01666671,-0.006890133,0.016780368,0.021444076,0.029860603,0.055368856,1.854244404,0.055368856
BD2600,0.002864437,0.009796242,0.035550443,0.040563831,0.051237586,0.093294724,1.820825907,0.093294724
BDI2000,-0.013192032,-0.003956786,0.027596737,0.033922666,0.048331408,0.087785021,1.816314166,0.087785021
BD3000,0.51735393,0.671330512,0.955647647,0.973359382,65534.97,119003.6146,1.815879592,0.973359382
